44.0,3083.0
198.0,24672.0
17.0,473.0
131.0,4703.0
404.0,21203.0
79.0,7385.0
423.0,52697.0
18.0,602.0
51.0,1850.0
211.0,9408.0
826.0,21665.0
42.0,183.0
157.0,1738.0
82.0,3300.0
0.0,11.0
3.0,17.0
2.0,21.0
0.0,4.0
36.0,309.0
1.0,7.0
71.0,1931.0
122.0,3795.0
90.0,426.0
74.0,415.0
90.0,397.0
151.0,534.0
110.0,442.0
104.0,439.0
97.0,451.0
2.0,4.0
56.0,4201.0
19.0,459.0
36.0,1467.0
411.0,18740.0
24.0,38.0
28.0,51.0
8.0,123.0
7.0,106.0
11.0,211.0
14.0,294.0
27.0,488.0
30.0,617.0
10.0,140.0
8.0,145.0
19.0,318.0
8.0,175.0
6.0,148.0
82.0,2316.0
145.0,6618.0
14.0,99.0
14.0,79.0
46.0,121.0
63.0,124.0
74.0,161.0
64.0,158.0
114.0,220.0
97.0,247.0
101.0,244.0
117.0,270.0
177.0,332.0
20.0,17.0
283.0,2203.0
25.0,243.0
71.0,978.0
19.0,122.0
21.0,172.0
3.0,95.0
10.0,70.0
7.0,361.0
10.0,406.0
29.0,218.0
22.0,136.0
65.0,2467.0
274.0,8117.0
11.0,258.0
55.0,495.0
132.0,1427.0
338.0,4194.0
11.0,75.0
16.0,63.0
12.0,74.0
14.0,57.0
17.0,65.0
11.0,108.0
18.0,75.0
18.0,69.0
7.0,75.0
18.0,89.0
17.0,98.0
15.0,82.0
15.0,74.0
16.0,73.0
20.0,69.0
19.0,71.0
12.0,73.0
22.0,110.0
17.0,71.0
15.0,68.0
39.0,140.0
2233.0,4857.0
