OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cms-scheel-md4-families-r24-c5-p1-8-9-16-19.cnf,	Maximum resident set size (kbytes): 15864,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.78,0,0,920	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.06,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf,	Maximum resident set size (kbytes): 20988,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:01.54,0,0,1148	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.07,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf,	Maximum resident set size (kbytes): 18868,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:01.19,0,0,964	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.03,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf,	Maximum resident set size (kbytes): 29240,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:01.84,0,0,1528	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.09,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cz-3-7-7.cnf,	Maximum resident set size (kbytes): 12729040,	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:02:42,0,0,11079604	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 9:06.11,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cz-alt-3-7.cnf,	Maximum resident set size (kbytes): 19198356,	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:12:36,0,0,15138336	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 12:49.44,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/dist10.c.cnf,	Maximum resident set size (kbytes): 2786472,	Elapsed (wall clock) time (h:mm:ss or m:ss): 11:49.06,0,0,7851128	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:08.42,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/dist4.c.cnf,	Maximum resident set size (kbytes): 3405116,	Elapsed (wall clock) time (h:mm:ss or m:ss): 15:48.01,0,0,8748460	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:56.48,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/dist5.c.cnf,	Maximum resident set size (kbytes): 3865240,	Elapsed (wall clock) time (h:mm:ss or m:ss): 16:35.43,0,0,11509708	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:37.15,0,0,0,0,0,0,0,0
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/dist6.c.cnf,	Maximum resident set size (kbytes): 2724460,	Elapsed (wall clock) time (h:mm:ss or m:ss): 11:31.09,0,0,8769108	/local_ssd/pico.trace,	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:40.26,0,0,0,0,0,0,0,0
