OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/a_rphp098_04.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:20:21,	Maximum resident set size (kbytes): 300204,8033216	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:01:05,11069508	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:12.24,c restarts              : 65711,c decisions             : 585704607      (0.00 % random) (122005 /sec),c conflicts             : 47933507       (9985 /sec),c propagations          : 2358290473     (491244 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/assoc_mult_err_3.c.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:28.43,	Maximum resident set size (kbytes): 48196,78888	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:03.49,3452816	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:14.32,c restarts              : 1165,c decisions             : 1170998        (0.00 % random) (13407 /sec),c conflicts             : 482041         (5519 /sec),c propagations          : 208812560      (2390692 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/avg_true-unreach-call.i.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 50:30.87,	Maximum resident set size (kbytes): 165412,7427472	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 28:58.49,15537212	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:17.04,c restarts              : 37553,c decisions             : 42775530       (0.00 % random) (14137 /sec),c conflicts             : 27305644       (9024 /sec),c propagations          : 6720460283     (2221047 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/by-X-2-7-100.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 17:44.03,	Maximum resident set size (kbytes): 247484,99348	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 55:00.46,431976	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:10.53,c restarts              : 1322,c decisions             : 945345         (0.00 % random) (890 /sec),c conflicts             : 562713         (530 /sec),c propagations          : 1726714072     (1625161 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cms-scheel-md4-families-r24-c5-p1-5-10-12-18.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:01.73,	Maximum resident set size (kbytes): 84688,326652	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:10.58,2316	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.16,c restarts              : 3138,c decisions             : 5832902        (0.00 % random) (95697 /sec),c conflicts             : 1599392        (26240 /sec),c propagations          : 108288536      (1776620 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cms-scheel-md4-families-r24-c5-p1-8-9-16-19.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:47.92,	Maximum resident set size (kbytes): 97292,507320	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:16.69,1596	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.14,c restarts              : 4282,c decisions             : 8547996        (0.00 % random) (79906 /sec),c conflicts             : 2509418        (23458 /sec),c propagations          : 185835577      (1737171 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:56.35,	Maximum resident set size (kbytes): 98536,548616	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:20.92,4580	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.20,c restarts              : 4823,c decisions             : 9067195        (0.00 % random) (78621 /sec),c conflicts             : 2749830        (23844 /sec),c propagations          : 169354367      (1468458 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:19.55,	Maximum resident set size (kbytes): 63232,107336	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:03.72,2208	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.16,c restarts              : 1090,c decisions             : 2934411        (0.00 % random) (152834 /sec),c conflicts             : 468064         (24378 /sec),c propagations          : 40626164       (2115946 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 33:15.25,	Maximum resident set size (kbytes): 250328,6678548	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:09.12,10236	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.42,c restarts              : 32826,c decisions             : 55875850       (0.00 % random) (28182 /sec),c conflicts             : 22560436       (11379 /sec),c propagations          : 1998086974     (1007783 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:59.95,	Maximum resident set size (kbytes): 97112,228532	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:06.72,2636	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.19,c restarts              : 2105,c decisions             : 6547972        (0.00 % random) (110983 /sec),c conflicts             : 955870         (16201 /sec),c propagations          : 149908651      (2540825 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cz-3-7-7.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 14:00.39,	Maximum resident set size (kbytes): 67588,452184	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 32:11.43,2021268	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:46.72,c restarts              : 5554,c decisions             : 3964894        (0.00 % random) (4722 /sec),c conflicts             : 3063867        (3649 /sec),c propagations          : 2205872133     (2627227 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/cz-alt-3-7.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 29:02.54,	Maximum resident set size (kbytes): 73500,760960	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:03:15,3616488	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:22.66,c restarts              : 8873,c decisions             : 6935623        (0.00 % random) (3984 /sec),c conflicts             : 5545851        (3185 /sec),c propagations          : 4365601965     (2507428 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/dist10.c.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:18.83,	Maximum resident set size (kbytes): 44876,142088	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:06.34,6461500	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:22.23,c restarts              : 2033,c decisions             : 1653467        (0.00 % random) (11960 /sec),c conflicts             : 888265         (6425 /sec),c propagations          : 340656272      (2464024 /sec)
OVERVIEW_CSV,/nfs/scratch/bzchartu/unsat_2018_solved/dist4.c.cnf,	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:15.67,	Maximum resident set size (kbytes): 43456,129248	/local_ssd/proof.drat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:54.77,6050644	/local_ssd/proof.lrat,	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:11.09,c restarts              : 1913,c decisions             : 1741795        (0.00 % random) (12912 /sec),c conflicts             : 851221         (6310 /sec),c propagations          : 333410226      (2471536 /sec)
