1,20.0,0.0,0.0
2,28.0,2.0,1.0
3,37.0,7.0,7.0
4,48.0,8.0,8.0
5,52.0,3.0,3.0
6,54.0,8.0,8.0
7,54.0,6.0,6.0
8,60.0,1.0,0.0
9,60.0,10.0,9.0
10,61.0,11.0,11.0
11,62.0,0.0,0.0
12,66.0,8.0,8.0
13,69.0,19.0,14.0
14,84.0,14.0,15.0
15,86.0,21.0,18.0
16,88.0,42.0,33.0
17,98.0,19.0,16.0
18,99.0,10.0,5.0
19,108.0,3.0,0.0
20,115.0,10.0,6.0
21,116.0,2.0,0.0
22,116.0,11.0,11.0
23,124.0,22.0,13.0
24,127.0,90.0,66.0
25,130.0,55.0,41.0
26,132.0,27.0,24.0
27,136.0,74.0,59.0
28,139.0,90.0,70.0
29,139.0,7.0,5.0
30,140.0,97.0,79.0
31,142.0,30.0,25.0
32,144.0,110.0,79.0
33,144.0,104.0,78.0
34,160.0,19.0,14.0
35,167.0,151.0,104.0
36,172.0,14.0,7.0
37,173.0,17.0,15.0
38,181.0,25.0,21.0
39,182.0,29.0,23.0
40,206.0,16.0,8.0
41,208.0,14.0,4.0
42,219.0,12.0,9.0
43,222.0,17.0,8.0
44,224.0,14.0,4.0
45,224.0,11.0,9.0
46,225.0,18.0,18.0
47,225.0,17.0,8.0
48,232.0,18.0,8.0
49,236.0,7.0,8.0
50,239.0,15.0,9.0
51,261.0,16.0,9.0
52,265.0,15.0,9.0
53,268.0,19.0,8.0
54,281.0,20.0,8.0
55,282.0,18.0,8.0
56,282.0,15.0,8.0
57,295.0,18.0,9.0
58,295.0,22.0,12.0
59,297.0,11.0,11.0
60,300.0,12.0,9.0
61,302.0,132.0,97.0
62,324.0,17.0,10.0
63,325.0,20.0,2.0
64,389.0,36.0,33.0
65,401.0,71.0,54.0
66,450.0,44.0,42.0
67,459.0,82.0,59.0
68,466.0,46.0,6.0
69,482.0,56.0,48.0
70,535.0,39.0,15.0
71,541.0,65.0,60.0
72,553.0,51.0,41.0
73,610.0,63.0,6.0
74,663.0,24.0,3.0
75,681.0,28.0,5.0
76,710.0,338.0,230.0
77,746.0,64.0,7.0
78,749.0,74.0,7.0
79,840.0,71.0,45.0
80,890.0,283.0,203.0
81,912.0,79.0,68.0
82,1060.0,131.0,79.0
83,1064.0,82.0,10.0
84,1110.0,114.0,9.0
85,1153.0,145.0,122.0
86,1187.0,97.0,9.0
87,1396.0,2233.0,767.0
88,1414.0,101.0,10.0
89,1487.0,117.0,10.0
90,1691.0,198.0,160.0
91,1733.0,177.0,11.0
92,1742.0,274.0,196.0
93,1743.0,122.0,79.0
94,1995.0,36.0,0.0
95,2027.0,211.0,146.0
96,3031.0,157.0,72.0
97,3280.0,411.0,250.0
98,3606.0,404.0,250.0
99,4115.0,423.0,327.0
100,4821.0,826.0,293.0
